date,type,Beløp inn,money out,category
19.02.2025,Varekjøp,,-96.3,Varekjøp
18.02.2025,Varekjøp,,-545.0,Varekjøp
18.02.2025,Varekjøp,,-199.88,Varekjøp
17.02.2025,Varekjøp,,-360.0,Varekjøp
17.02.2025,Varekjøp,,-257.4,Varekjøp
17.02.2025,Varekjøp,,-136.2,Varekjøp
17.02.2025,Varekjøp,,-42.4,Varekjøp
14.02.2025,Betaling innland,,-100.0,Betaling innland
14.02.2025,Overføring,,-10000.0,Overføring
14.02.2025,Varekjøp,,-305.25,Varekjøp
13.02.2025,Varekjøp,,-38.9,Varekjøp
12.02.2025,Varekjøp,,-79.8,Varekjøp
12.02.2025,Varekjøp,,-170.0,Varekjøp
12.02.2025,Varekjøp,,-398.0,Varekjøp
12.02.2025,Varekjøp,,-163.0,Varekjøp
11.02.2025,Varekjøp,,-552.1,Varekjøp
11.02.2025,Varekjøp,,-40.0,Varekjøp
11.02.2025,Varekjøp,,-167.05,Varekjøp
10.02.2025,Varekjøp,,-227.4,Varekjøp
10.02.2025,Varekjøp,,-270.0,Varekjøp
07.02.2025,Varekjøp,,-30.0,Varekjøp
07.02.2025,Varekjøp,,-275.81,Varekjøp
07.02.2025,Varekjøp,,-767.73,Varekjøp
07.02.2025,Varekjøp,,-360.6,Varekjøp
07.02.2025,Varekjøp,,-85.0,Varekjøp
07.02.2025,Varekjøp,,-767.73,Varekjøp
06.02.2025,Varekjøp,,-40.0,Varekjøp
06.02.2025,immediate,,-150.0,immediate
05.02.2025,Varekjøp,,-799.0,Varekjøp
05.02.2025,Varekjøp,,-490.15,Varekjøp
05.02.2025,Varekjøp,,-83.4,Varekjøp
04.02.2025,Varekjøp,,-155.0,Varekjøp
04.02.2025,immediate,,-305.0,immediate
04.02.2025,Varekjøp,,-2481.0,Varekjøp
03.02.2025,immediate,,-540.0,immediate
03.02.2025,Varekjøp,,-67.8,Varekjøp
03.02.2025,Varekjøp,,-509.18,Varekjøp
03.02.2025,Varekjøp,,-163.7,Varekjøp
03.02.2025,Varekjøp,,-121.4,Varekjøp
03.02.2025,Overføring,,-5000.0,Overføring
03.02.2025,Betaling innland - eFaktura,,-639.62,Betaling innland - eFaktura
03.02.2025,Varekjøp,,-478.0,Varekjøp
03.02.2025,Overføring,,-5000.0,Overføring
31.01.2025,Varekjøp,,-485.0,Varekjøp
30.01.2025,Overføring,,-2100.0,Overføring
30.01.2025,Varekjøp,,-134.8,Varekjøp
30.01.2025,Varekjøp,,-599.0,Varekjøp
29.01.2025,immediate,,-125.0,immediate
28.01.2025,Varekjøp,,-50.0,Varekjøp
28.01.2025,Varekjøp,,-134.8,Varekjøp
28.01.2025,Varekjøp,,-64.3,Varekjøp
27.01.2025,Varekjøp,,-470.0,Varekjøp
27.01.2025,Varekjøp,,-75.8,Varekjøp
27.01.2025,Varekjøp,,-427.93,Varekjøp
24.01.2025,Varekjøp,,-33.9,Varekjøp
24.01.2025,Varekjøp,,-30.2,Varekjøp
23.01.2025,Varekjøp,,-73.8,Varekjøp
21.01.2025,Varekjøp,,-40.0,Varekjøp
21.01.2025,Varekjøp,,-260.0,Varekjøp
21.01.2025,Varekjøp,,-90.0,Varekjøp
21.01.2025,immediate,,-140.0,immediate
20.01.2025,Varekjøp,,-66.2,Varekjøp
20.01.2025,Varekjøp,,-60.0,Varekjøp
20.01.2025,Varekjøp,,-40.0,Varekjøp
20.01.2025,Varekjøp,,-134.8,Varekjøp
20.01.2025,Overføring,,-2500.0,Overføring
20.01.2025,Varekjøp,,-329.2,Varekjøp
20.01.2025,Varekjøp,,-48.8,Varekjøp
20.01.2025,Varekjøp,,-311.5,Varekjøp
20.01.2025,Varekjøp,,-102.4,Varekjøp
20.01.2025,Varekjøp,,-717.6,Varekjøp
17.01.2025,Varekjøp,,-133.31,Varekjøp
17.01.2025,Betaling innland,,-13000.0,Betaling innland
17.01.2025,Varekjøp,,-58.0,Varekjøp
15.01.2025,Varekjøp,,-50.0,Varekjøp
15.01.2025,Varekjøp,,-20.0,Varekjøp
15.01.2025,Varekjøp,,-717.6,Varekjøp
15.01.2025,Varekjøp,,-146.8,Varekjøp
15.01.2025,Varekjøp,,-100.0,Varekjøp
14.01.2025,Betaling innland,,-100.0,Betaling innland
14.01.2025,Varekjøp,,-176.0,Varekjøp
13.01.2025,Varekjøp,,-99.0,Varekjøp
13.01.2025,immediate,,-370.0,immediate
13.01.2025,Varekjøp,,-48.3,Varekjøp
13.01.2025,Varekjøp,,-20.41,Varekjøp
13.01.2025,immediate,,-125.0,immediate
13.01.2025,Varekjøp,,-93.8,Varekjøp
13.01.2025,Varekjøp,,-103.5,Varekjøp
13.01.2025,Varekjøp,,-368.0,Varekjøp
13.01.2025,Varekjøp,,-239.0,Varekjøp
09.01.2025,Overføring,,-10000.0,Overføring
09.01.2025,Omkostning,,-10.0,Omkostning
09.01.2025,immediate,,-2500.0,immediate
09.01.2025,Betaling innland,,-750.0,Betaling innland
09.01.2025,Overføring,,-13700.0,Overføring
08.01.2025,Varekjøp,,-76.9,Varekjøp
08.01.2025,Varekjøp,,-100.0,Varekjøp
08.01.2025,Varekjøp,,-81.8,Varekjøp
07.01.2025,Varekjøp,,-112.3,Varekjøp
06.01.2025,Varekjøp,,-531.43,Varekjøp
06.01.2025,Varekjøp,,-60.0,Varekjøp
06.01.2025,Varekjøp,,-568.0,Varekjøp
06.01.2025,Varekjøp,,-79.0,Varekjøp
06.01.2025,Varekjøp,,-31.9,Varekjøp
06.01.2025,Betaling innland,,-815.0,Betaling innland
06.01.2025,Varekjøp,,-543.35,Varekjøp
06.01.2025,immediate,,-563.97,immediate
06.01.2025,Varekjøp,,-39.0,Varekjøp
03.01.2025,Overføring,,-5000.0,Overføring
03.01.2025,Varekjøp,,-119.85,Varekjøp
03.01.2025,Varekjøp,,-132.11,Varekjøp
03.01.2025,Varekjøp,,-160.1,Varekjøp
Money out this month,Total,,-242017.87,
